0,1,2
1426.1902,-41.11557,-48.492176
1429.1207,-39.597294,-53.024067
1433.8718,-38.260864,-66.06776
648.6705,-82.00947,-111.55141
628.66095,-67.61747,-59.61735
520.2741,-14.017652,-169.03992
497.8729,-60.44134,-280.5492
503.20847,-53.677464,-281.89648
484.6604,-39.37158,-251.22496
-352.28815,373.05203,83.78654
-273.26044,429.82373,77.684364
-274.7846,333.85208,108.37702
-262.94794,473.00842,113.02014
-265.20462,485.14163,106.54104
-350.08798,474.31387,107.72585
57.23469,-332.2916,513.1108
-138.52797,-60.746616,-121.32427
-605.9828,44.583046,-112.51277
314.32996,-341.84055,382.2869
280.01395,-338.47046,544.82837
-453.4432,17.986984,-10.379398
-413.62006,21.961704,77.17927
-1304.6106,-256.02133,-120.678055
-1068.32,-369.98346,-167.40273
-1211.5013,-283.71756,-132.41483
-1249.5308,-234.54387,-128.36551
