0,1,2
1426.1923,-41.11556,-48.498363
1429.1212,-39.59877,-53.03804
1433.8726,-38.26207,-66.08693
648.67084,-81.99873,-111.46995
628.6612,-67.63184,-59.644238
520.2749,-14.019181,-169.03882
497.87323,-60.448982,-280.59857
503.20798,-53.68307,-281.93054
484.6603,-39.355606,-251.13824
-352.28723,373.05267,83.79761
-273.2598,429.80875,77.765854
-274.7836,333.84546,108.39238
-262.9471,473.006,113.03279
-265.20383,485.1425,106.51985
-350.08734,474.3259,107.650375
57.233673,-332.30078,513.14264
-138.52806,-60.732265,-121.32854
-605.9832,44.575695,-112.492096
314.329,-341.85654,382.29745
280.01297,-338.4522,544.79877
-453.44357,17.984922,-10.442392
-413.62045,21.986073,77.1763
-1304.6124,-256.0225,-120.68
-1068.3198,-369.98495,-167.40614
-1211.5011,-283.71967,-132.41354
-1249.5325,-234.54509,-128.36761
